IDNOREMP;IDTIPODOC;NUMDOC;DV;INSCRIP  MATRIC / RENOVACIÓN ;CAMARA;INSCRIPCIÓN /MATRICULA;CIIU;NOVEDAD;RAZSOC;NOMCOM;SIGLA;DIRECCION;IDDEPTO;IDMCIPIO;TEL;EXT;EMAIL;WEB;DIRECCION NOT;IDDEPTO  NOT;IDMCIPIO NOT;TEL NOT;EXT NOT;EMAIL NOT;WEB NOT;ORGJUR;NOMREP;CSEDE;prioridad;orgjucual;fechaconst;fechahasta;capsocin;capsocinpu;capsocinpr;capsocie;capsociepu;capsociepr;estadoact;otro;estagrop;estminero;estind;estservpub;estconst;estcom;estreshot;esttrans;estcomunic;estfinanc;estservcom;uniaux;fechadili;responde;carresponde;teler;faxr;emailres;;aa;aanotifica;estser;otrose;actie;actic;lgg;estcart;correlativa;envcorr;vericorr;fec_correo;activa;fechadist
9814;1;800059608;;;;;1410;99;INDUSTRIAS ST EVEN S.A;INDUSTRIAS ST EVEN S.A;;KR 46 # 30-61;5;1;5767970;;contabilidad@stevensa.com;www.stevensa.com;CRA 46 # 30-61;5;1;5767970;;contabilidad@stevensa.com;www.stevensa.com;5;ROBERTULIO CARDONA ESPINAL;6;0;null;'0000-00-00';'0000-00-00';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00'; ; ;0;null; ;;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00';1;'0000-00-00'
9849;1;890914048;;;;;1410;99;LAURA S.A;LAURA S.A;;CL 16 # 59-09;5;1;2652000;;contab@laura.com.co;WWW.LAURA.COM.CO;CLL 16 # 59-09;5;1;2652000;;contab@laura.com.co;WWW.LAURA.COM.CO;5;SANTIAGO ARISTIZABAL;6;0;null;'0000-00-00';'0000-00-00';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00'; ; ;0;null; ;;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00';1;'0000-00-00'
9965;1;811044814;;;;;1391;99;C I LEONISA S A;C I LEONISA S A;;KR 51 # 13-158;5;1;3506391;;leonisa@leonisa.com.co;www.leonisa.com;CRA 51 # 13 -158;5;1;3506391;;fgonzalez@leonisa.com;www.leonisa.com;5;LUIS GILBERTO GIRALDO SERNA;6;0;null;'0000-00-00';'0000-00-00';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00'; ; ;0;null; ;;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00';1;'0000-00-00'
9988;1;890907821;;;;;1410;99;PRODUCTOS Y MATERIALES DE CONFECCIONES S.A.S;PRYM S.A.S;;CL 14 # 52A-89;5;1;3612020;;jquintero@leonisa.com;www.leonisa.com;CLL 14 # 52 A - 89;5;1;3612020;;jquintero@leonisa.com;www.leonisa.com;14;MAURICIO ORREGO SIERRA;6;0;null;'0000-00-00';'0000-00-00';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00'; ; ;0;null; ;;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00';1;'0000-00-00'
9991;1;800191700;;;;;1521;99;CUEROS VELEZ S.A.S;CUEROS VELEZ S.A.S;;CL 29 # 52-115;5;1;3555100;;cuevelez@une.net.co;www.velez.com.co;CLL 29 # 52 - 115;5;1;3555100;;FCORREA@CUEROSVELEZ.COM;www.velez.com.co;14;JUAN GUILLERMO BOLIVAR BUSTAMANTE;6;0;null;'0000-00-00';'0000-00-00';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00'; ; ;0;null; ;;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00';1;'0000-00-00'
10242;1;890900161;;;;;1709;99;PRODUCTOS FAMILIA S.A;PRODUCTOS FAMILIA S.A;;KR 50 # 8-117 S;5;1;3609500;;rodolfovs@familia.com.co;www.familiasancela.com;CRA 50 # 8 SUR 117;5;1;3609500;;;www.familiasancela.com;5;Dr Dario Rey Mora;6;0;null;'0000-00-00';'0000-00-00';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00'; ; ;0;null; ;;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00';1;'0000-00-00'
10245;1;890925108;;;;;1701;99;PAPELES Y CARTONES S A;PAPELSA;;ED ROSE STREET - (PARQ LLERAS) - CRA 37A #  8 - 43  OFC. 903;5;1;3540300;;roberto.restrepo@papelsa.com;www.papelsa.com;EDIF. ROSE STREET(PARQ LLERAS);5;1;3540300;;roberto.restrepo@papelsa.com;www.papelsa.com;5;Ana Maria Zapata Blandon   CC.43.613.183;6;0;null;'0000-00-00';'0000-00-00';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00'; ; ;0;null; ;;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00';1;'0000-00-00'
10252;1;890925215;;;;;1701;99;PRODUCTOS AUTOADHESIVOS ARCLAD S.A;ARCLAD S.A;;KR 43A # 14-27 OF 105;5;1;4488006;;info@arclad.com;www.arclad.com;KR 43A # 14-27 OF 105;5;1;4488006;;carlos.bustamante@arclad.com;www.arclad.com;5;FERNANDO ZULUAGA GOMEZ;6;0;null;'0000-00-00';'0000-00-00';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00'; ; ;0;null; ;;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00';1;'0000-00-00'
10349;1;890906397;;;;;2011;99;NUBIOLA COLOMBIA PIGMENTOS S. A.;PIGMENTOS S A;;CLL 7 No. 23C- 10;5;308;4444646;;c.aguilar@nubiola.com;www.nubiola.com;CRA 46  No. 52 - 82  PISO 9;5;1;5119501;;c.aguilar@nubiola.com;www.nubiola.com;5;FRANCISCO ALBERTO SERNA ZULUAGA;6;0;null;'0000-00-00';'0000-00-00';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00'; ; ;0;null; ;;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00';1;'0000-00-00'
10352;1;890903310;;;;;2013;99;ANHIDRIDOS Y DERIVADOS DE COLOMBIA S.A;ANDERCOL;;KR 64C # 95-84;5;1;4700700;;luis.salas@grupo-orbis.com;www.andercol.com.co;CRA. 64 C # 95-84;5;1;4700700;;martha.ramirez@andercol.com.co;www.andercol.com.co;5;rodolfo bayona plata;6;0;null;'0000-00-00';'0000-00-00';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00'; ; ;0;null; ;;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00';1;'0000-00-00'
10354;1;890903474;;;;;2030;99;ENKA DE COLOMBIA S A;ENKA DE COLOMBIA S A;;CR 37 A 8-43 OFI 901;5;1;3195106;;fredy.vallejo@enka.com.co;www.enka.com.co;CR 37 A 8-43 OFI 901;5;1;4055139;;fredy.vallejo@enka.com.co;www.enka.com.co;5;Alvaro Hincapie Velez;6;0;null;'0000-00-00';'0000-00-00';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00'; ; ;0;null; ;;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00';1;'0000-00-00'
10355;2;890900148;;;;;2022;99;COMPAÑÍA GLOBAL DE PINTURAS S.A.;COMPAÑÍA GLOBAL DE PINTURAS S.A.;;CL 19 A  # 43B-41;5;1;3848484;;francisco.duque@pintuco.com;www.pintuco.com;CL 19A # 43 B 41;5;1;3848484;;srojas@pintuco.com;www.pintuco.com;5;ANDRES ORTEGA MENDEZ;6;0;null;'0000-00-00';'0000-00-00';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00'; ; ;0;null; ;;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00';1;'0000-00-00'
10359;1;890981683;;;;;2100;99;CORP. DE FOMENTO ASIST. DE HOSP. SAN VIC;CORPAUL;;Cra 52A 39  80;5;1;4441333;;direcciongeneral@corpaul.com;www.corpaul.com;Clle 64 51 D  154;5;1;4441333;;jae3@sanvicentefundacion.com;www.corpaul.com;13;MARIA ELENA DUQUE LONDONO;6;0;null;'0000-00-00';'0000-00-00';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00'; ; ;0;null; ;;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00';1;'0000-00-00'
10383;1;890905032;;;;;2023;99;PREPARACIONES DE BELLEZA S.A;PREPARACIONES DE BELLEZA S.A;;Calle 10 # 58-59;5;1;3656000;;andrea.guerra@prebel.com.co;www.prebel.com;Calle 10 # 58-59;5;1;3656000;;andrea.guerra@prebel.com.co;www.prebel.com;5;ALVARO CORREA ROBLEDO;6;0;null;'0000-00-00';'0000-00-00';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00'; ; ;0;null; ;;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00';1;'0000-00-00'
10415;1;890900099;;;;;2229;99;INDUSTRIAS ESTRA S.A;INDUSTRIAS ESTRA S.A;;CL 30 # 55-72;5;1;3500050;;financiero@estra.com.co;www.estra.com;CLL  30 # 55 - 72;5;1;3500050;;dbedoya@estra.com.co;www.estra.com;5;JUAN FERNANDO GÓMEZ JARAMILLO;6;0;null;'0000-00-00';'0000-00-00';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00'; ; ;0;null; ;;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00';1;'0000-00-00'
10428;1;890928257;;;;;2229;99;ALICO S.A.;ALICO S.A.;;CALLE 10SUR # 50FF-63;5;1;2854413;;auditoria@alico-sa.com;www.alico-sa.com.co;CALLE 10SUR # 50FF-63;5;1;2854413;;"alico@alico-sa.com; roquendo@alico-sa.com";www.alico-sa.com.co;5;ALBA LILIA RESTREPO JARAMILLO;6;0;null;'0000-00-00';'0000-00-00';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00'; ; ;0;null; ;;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00';1;'0000-00-00'
10545;1;890900293;;;;;2395;99;ALMACENES E INDUSTRIAS ROCA S.A;ALMACENES E  NDUSTRIAS ROCA S.A;;CL 30 # 55-122;5;1;3501100;;roca@roca.com.co;www.roca.com.co;CL 30  55  122;5;1;3501121;;diana.marin@roca.com.co;www.roca.com.co;5;JUAN CARLOS VELEZ RESTREPO;6;0;null;'0000-00-00';'0000-00-00';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00'; ; ;0;null; ;;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00';1;'0000-00-00'
10579;1;890902070;;;;;2421;99;C.I. J.GUTIERREZ Y CIA S.A.;FUNDICION GUTIERREZ;;CL 37 # 46-49;5;1;2322813;;"lidarraga@fundiciongutierrez.co; FUNDIC@UNE.NET.CO";;CL 37 # 46 - 49;5;1;2322813;;"lidarraga@fundiciongutierrez.co; FUNDIC@UNE.NET.CO";;5;ANDRES VIEIRA GUTIERREZ;6;0;null;'0000-00-00';'0000-00-00';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00'; ; ;0;null; ;;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00';1;'0000-00-00'
10584;1;890900098;;;;;2599;99;LANDERS Y CIA S.A.S;LANDERS Y CIA S.A.S;;CARRERA  53 # 30-27;5;1;3500060;;olga.ibarra@landers.com.co;WWW.LANDERS.COM.CO;CARRERA  53 # 30 - 27;5;1;3500060;;Olga.ibarra@landers.com.co;WWW.LANDERS.COM.CO;14;ALEXIS JUAN TAHTA;6;0;null;'0000-00-00';'0000-00-00';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00'; ; ;0;null; ;;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00';1;'0000-00-00'
10601;1;890914515;;;;;2599;99;SOCODA S.A.S;SOCODA S.A.S;;KR 48 # 14-128;5;1;4481144;;impuestos@socoda.com.co;www.socoda.com.co;CRA 48 # 14 - 128;5;1;4481144;;;www.socoda.com.co;14;FRANCISCO ZULUAGA OLARTE;6;0;null;'0000-00-00';'0000-00-00';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00'; ; ;0;null; ;;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00';1;'0000-00-00'
10735;1;890900281;;;;;2750;99;INDUSTRIAS HACEB S.A.;INDUSTRIAS HACEB S.A.;;AUTO NORTE CL 59 # 55-80 KM 13;5;212;4005100;;haceb@haceb.com;www.haceb.com;AU NORTE CL 59 # 55 - 80 KM 13;5;212;4005222;;juan.echeverri@haceb.com;www.haceb.com;5;JOSE FERNANDO ANGEL ESCOBAR;6;0;null;'0000-00-00';'0000-00-00';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00'; ; ;0;null; ;;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00';1;'0000-00-00'
10932;1;890907163;;;;;1090;99;COMPAÑIA INDUSTRIAL DE PRODUCTOS AGROPECUARIOS S.A.;CIPA S.A;;CRA 49A # 23-45;5;88;4650020;;dianasanchez@cipa.com.co;www.cipa.com.co;CRA 49A # 23-45;5;88;5200950;;dianasanchez@cipa.com.co;www.cipa.com.co;5;JUAN LUIS CARDONA SIERRA;6;0;null;'0000-00-00';'0000-00-00';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00'; ; ;0;null; ;;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00';1;'0000-00-00'
11022;1;890930534;;;;;1811;99;CADENA S.A.;CADENA S.A.;;CRA50 # 97A SUR 150;5;380;3786666;;diana.maya@cadena.com.co;www.cadena.com.co;CRA 50 # 97 A SUR - 150;5;380;3786666;;diana.maya@cadena.com.co;www.cadena.com.co;5;JUAN FERNANDO SALAZAR OSORIO;6;0;null;'0000-00-00';'0000-00-00';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00'; ; ;0;null; ;;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00';1;'0000-00-00'
11023;1;890900085;;;;;2393;99;LOCERIA COLOMBIANA S.A.;LOCERIA COLOMBIANA S.A.;;CRA 54   129 SUR 51;5;129;3788400;;aagudelo@corona.com.co;www.vajillascorona.com.co;CRA 54   129 SUR - 51;5;129;3788400;;aagudelo@corona.com.co;www.vajillascorona.com.co;5;LUIS FERNANDO MEJIA ESCOBAR;6;0;null;'0000-00-00';'0000-00-00';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00'; ; ;0;null; ;;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00';1;'0000-00-00'
11051;1;890922670;;;;;1011;99;ALIMENTOS FRIKO S.A.S;FRIKO S.A.S;;CALLE 7 D 43 A 99 OF 704;5;1;3252222;;friko@friko.co;www.friko.co;CALLE 7 D 43 A 99 OF 704;5;1;3252222;;friko@friko.co;www.friko.co;14;FEDERICO GALLEGO DAVILA;6;0;null;'0000-00-00';'0000-00-00';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00'; ; ;0;null; ;;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00';1;'0000-00-00'
11074;1;890900307;;;;;2750;99;GROUPE SEB COLOMBIA;IMUSA;;KR 55 # 50-25;5;212;5698888;;gsebcol@co.groupeseb.com;www.imusa.com.co;CRA 55 # 50-25;5;212;5698888;;atoro@co.groupeseb.com;www.imusa.com.co;5;JUAN GUILLERMO SANCHEZ;6;0;null;'0000-00-00';'0000-00-00';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00'; ; ;0;null; ;;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00';1;'0000-00-00'
11127;1;890901271;;;;;1090;99;CONTEGRAL S.A.;CONTEGRAL S.A.;;CR 48 # 27A SUR 89;5;266;3310111;;contegral@contegral.co;;CR 48 # 27A SUR 89;5;266;3310111;;contegral@contegral.co;;5;Orlando Posada Rada;6;0;null;'0000-00-00';'0000-00-00';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00'; ; ;0;null; ;;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00';1;'0000-00-00'
11177;1;890906904;;;;;2229;99;SIMEX S.A.S.;SIMEX S.A.S.;;CR 48 No 48 SUR 181 LC 102;5;266;3051900;;nora.roldan@simex.com.co;www.simex.com.co;CR 48 No 48 SUR 181 LOC 102;5;266;3051900;;nora.roldan@simex.com.co;www.simex.com.co;14;MARIA EUGENIA ESTRADA BUSTAMANTE;6;0;null;'0000-00-00';'0000-00-00';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00'; ; ;0;null; ;;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00';1;'0000-00-00'
11204;1;890900267;;;;;3250;99;NEW STETIC S.A;NEW STETIC;;CRA 53 # 50-09;5;318;5500000;;mcasas@newstetic.com;www.newstetic.com;CLL 40 # 65-27;5;1;3504700;;mcasas@newstetic.com;www.newstetic.com;5;HERNAN MARTINEZ RODRIGUEZ;6;0;null;'0000-00-00';'0000-00-00';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00'; ; ;0;null; ;;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00';1;'0000-00-00'
11207;1;890908493;;;;;1011;99;COMESTIBLES DAN S.A;COMESTIBLES DAN S.A;;KR 41 # 46-81;5;360;3704000;;gladys_usme@comestiblesdan.com.co;www.comestiblesdan.com;CRA 41 # 46 - 81;5;360;3704000;;gladys_usme@comestibledan.com.co;www.comestiblesdan.com;5;JESUS ALONSO BOTERO;6;0;null;'0000-00-00';'0000-00-00';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00'; ; ;0;null; ;;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00';1;'0000-00-00'
11234;1;890900168;;;;;1103;99;CERVECERIA UNION S A;CERVECERIA UNION S A;;CRA 50A # 38-39;5;360;3722400;;jorge.gomez@bav.sabmiller.com;www.bavaria.com;CRA 50A # 38-39;5;360;3722400;;jorge.gomez@bav.sabmiller.com;www.bavaria.com;5;JUAN DARIO VELASQUEZ CRUZ;6;0;null;'0000-00-00';'0000-00-00';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00'; ; ;0;null; ;;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00';1;'0000-00-00'
11255;1;890900285;;;;;2229;99;COMPANIA DE EMPAQUES S.A.;COMPANIA DE EMPAQUES S A;;crra 42  86 25 Autopista sur;5;360;3658853;;fgarcia@epq.com.co;www.ciaempaques.com.co;crra 42  86  25 autopista sur;5;360;3658853;;angelica.gonzalez@ciaempaques.com.co;www.ciaempaques.com.co;5;PEDRO MIGUEL ESTRADA LONDONO;6;0;null;'0000-00-00';'0000-00-00';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00'; ; ;0;null; ;;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00';1;'0000-00-00'
11296;1;800186656;;;;;1392;99;C.I. DISTRIHOGAR S.A.S.;C.I. DISTRIHOGAR S.A.S;;CR 79 SUR #52A 145  INT 101;5;380;4449955;;imadrigal@distrihogar.com.co;www.distrihogar.com.co;CR 79 SUR #52A 145  INT 101;5;380;4449955;;imadrigal@distrihogar.com.co;www.distrihogar.com.co;14;IADER AUGUSTO MADRIGAL MUNERA;6;0;null;'0000-00-00';'0000-00-00';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00'; ; ;0;null; ;;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00';1;'0000-00-00'
11480;1;890900120;;;;;2022;99;SUMINISTROS DE COLOMBIA S.A.S;SUMICOL S.A.S;;KR 49 # 67 sur -520 Avda regional;5;631;3058200;;lemejia@corona.com.co;www.corona.com.co/sumicol;CRA 49 # 67 SUR - 520 Avda regional;5;631;3058200;;lemejia@corona.com.co;www.corona.com.co/sumicol;5;JAIME ALBERTO ANGEL MEJIA;6;0;null;'0000-00-00';'0000-00-00';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00'; ; ;0;null; ;;0;0;0;0;0;0;0;0;0;0;0;'0000-00-00';1;'0000-00-00'
